,cfile,RvsdgConstructionTime[ns],#RvsdgNodes,#PointsToGraphNodes,#PointsToGraphAllocaNodes,#PointsToGraphDeltaNodes,#PointsToGraphImportNodes,#PointsToGraphLambdaNodes,#PointsToGraphMallocNodes,#PointsToGraphMemoryNodes,#PointsToGraphRegisterNodes,#PointsToGraphEdges,AndersenAnalysisTimer[ns],AndersenSetBuildingTimer[ns],AndersenOVSTimer[ns],AndersenWorklistTimer[ns],PointsToGraphConstructionTimer[ns],#SimpleAllocas,#NonReentrantAllocas,#ExtModRefSets,#ExtModRefCompressed,#ExtModRefKept,#LocalModRefSets,#LocalModRefKept,CallGraphTimer[ns],AllocasDeadInSccsTimer[ns],SimpleAllocasSetTimer[ns],NonReentrantAllocaSetsTimer[ns],CreateExternalModRefSetTimer[ns],AnnotationTimer[ns],SolvingTimer[ns],ExternalCompactionTimer[ns],#IntraProceduralRegions,#TotalAllocaStateArguments,#TotalMallocStateArguments,#TotalDeltaStateArguments,#TotalImportStateArguments,#TotalLambdaStateArguments,#TotalExternalStateArguments,#TotalNonEscapedStateArguments,#MaxMemoryStateArguments,#MaxNonEscapedMemoryStateArguments,#LoadOperations,#TotalAllocaStatesThroughLoad,#TotalMallocStatesThroughLoad,#TotalDeltaStatesThroughLoad,#TotalImportStatesThroughLoad,#TotalLambdaStatesThroughLoad,#TotalExternalStatesThroughLoad,#TotalNonEscapedStatesThroughLoad,#MaxMemoryStatesThroughLoad,#MaxNonEscapedMemoryStatesThroughLoad,#StoreOperations,#TotalAllocaStatesThroughStore,#TotalMallocStatesThroughStore,#TotalDeltaStatesThroughStore,#TotalImportStatesThroughStore,#TotalLambdaStatesThroughStore,#TotalExternalStatesThroughStore,#TotalNonEscapedStatesThroughStore,#MaxMemoryStatesThroughStore,#MaxNonEscapedMemoryStatesThroughStore,#CallEntryMergeOperations,#TotalAllocaStatesIntoCallEntryMerge,#TotalMallocStatesIntoCallEntryMerge,#TotalDeltaStatesIntoCallEntryMerge,#TotalImportStatesIntoCallEntryMerge,#TotalLambdaStatesIntoCallEntryMerge,#TotalExternalStatesIntoCallEntryMerge,#TotalNonEscapedStatesIntoCallEntryMerge,#MaxMemoryStatesIntoCallEntryMerge,#MaxNonEscapedMemoryStatesIntoCallEntryMerge,MemoryStateEncodingTime[ns],#TotalLoads,#LoadsForwarded,SvfTracingTime[ns],SvfForwardingTime[ns],StoreValueForwardingTime[ns],TransformationPass-000-RvsdgTreePrinter-#RvsdgNodesBefore,TransformationPass-001-PredicateCorrelation-#RvsdgNodesBefore,TransformationPass-002-CommonNodeElimination-#RvsdgNodesBefore,TransformationPass-003-InvariantValueRedirection-#RvsdgNodesBefore,TransformationPass-004-DeadNodeElimination-#RvsdgNodesBefore,TransformationPass-005-RvsdgTreePrinter-#RvsdgNodesBefore,TransformationPass-006-PointsToAnalysisStateEncoder-#RvsdgNodesBefore,TransformationPass-007-RvsdgTreePrinter-#RvsdgNodesBefore,TransformationPass-008-StoreValueForwarding-#RvsdgNodesBefore,TransformationPass-009-RvsdgTreePrinter-#RvsdgNodesBefore,TransformationPass-010-CommonNodeElimination-#RvsdgNodesBefore,TransformationPass-011-InvariantValueRedirection-#RvsdgNodesBefore,TransformationPass-012-NodeReduction-#RvsdgNodesBefore,TransformationPass-013-DeadNodeElimination-#RvsdgNodesBefore,TransformationPass-014-RvsdgTreePrinter-#RvsdgNodesBefore,#RvsdgNodesAfterSequence,OptimizationTime[ns],TransformationPass-000-RvsdgTreePrinter-Timer[ns],TransformationPass-001-PredicateCorrelation-Timer[ns],TransformationPass-002-CommonNodeElimination-Timer[ns],TransformationPass-003-InvariantValueRedirection-Timer[ns],TransformationPass-004-DeadNodeElimination-Timer[ns],TransformationPass-005-RvsdgTreePrinter-Timer[ns],TransformationPass-006-PointsToAnalysisStateEncoder-Timer[ns],TransformationPass-007-RvsdgTreePrinter-Timer[ns],TransformationPass-008-StoreValueForwarding-Timer[ns],TransformationPass-009-RvsdgTreePrinter-Timer[ns],TransformationPass-010-CommonNodeElimination-Timer[ns],TransformationPass-011-InvariantValueRedirection-Timer[ns],TransformationPass-012-NodeReduction-Timer[ns],TransformationPass-013-DeadNodeElimination-Timer[ns],TransformationPass-014-RvsdgTreePrinter-Timer[ns],RvsdgDestructionTime[ns],Tree4-NumAllocaNodes,Tree4-NumStoreNodes,Tree4-NumLoadNodes,Tree4-NumMemoryStateTypeArguments,Tree0-NumAllocaNodes,Tree0-NumStoreNodes,Tree0-NumLoadNodes,Tree0-NumMemoryStateTypeArguments,Tree3-NumAllocaNodes,Tree3-NumStoreNodes,Tree3-NumLoadNodes,Tree3-NumMemoryStateTypeArguments,Tree1-NumAllocaNodes,Tree1-NumStoreNodes,Tree1-NumLoadNodes,Tree1-NumMemoryStateTypeArguments,Tree2-NumAllocaNodes,Tree2-NumStoreNodes,Tree2-NumLoadNodes,Tree2-NumMemoryStateTypeArguments,Configuration,RegionAwareModRefSummarizerTime[ns],TotalTime[ns],#TotalMemoryStateArguments,#TotalMemoryStatesThroughLoad,#TotalMemoryStatesThroughStore,#TotalMemoryStatesIntoCallEntryMerge
0,ghostscript-10.04.0+freetype_src_psnames_psmodule.c,61252895,62857,311,78,14,6,11,0,110,201,3187,66156493,64605796,266658,282397,836613,76,76,122,163,458,569,618,3072754,207618,12310,32850,1180,1055501,471446,316217,193,758,0,0,0,0,97,699,15,13,333,277,0,0,0,0,43,265,3,1,159,164,0,0,0,0,10,145,3,1,13,21,0,0,0,0,12,1,4,1,3003835,332,264,1067810,756656,3890307,63145,63145,63145,63145,62865,62857,62857,62822,62822,62397,62397,62397,62388,62248,62036,62036,522183677,34606599,204398,7743865,1201840,49610142,38438177,125774231,32668685,6007239,37844811,8919385,874413,58618987,51271088,37337396,53985456,3,15,67,173,78,159,333,187,72,151,68,853,78,159,333,187,77,157,332,853,RegionAwareModRef,5169876,637422028,855,320,174,33
1,ghostscript-10.04.0+base_gdevkrnlsclass.c,1416378,434,70,6,0,4,1,0,12,58,263,527005,292688,33440,52839,114069,6,6,67,134,145,100,99,27930,2360,970,2700,840,107279,34549,34100,52,147,0,0,0,0,50,147,7,6,85,61,0,0,0,0,24,61,1,1,42,32,0,0,0,0,10,32,1,1,3,0,0,0,0,0,3,0,1,0,319327,85,61,896973,115748,1155970,510,510,510,510,443,434,434,436,436,350,350,350,350,325,287,287,6245648,344737,40690,511916,63889,253398,238418,1500537,246388,1164130,232958,501136,49329,467986,308678,208548,394536,0,10,24,50,6,42,85,50,6,41,24,197,6,42,85,50,6,42,85,197,RegionAwareModRef,210728,8056562,197,85,42,3
2,redist2017-526.blender+blender_source_blender_modifiers_intern_MOD_ocean.c,367077,205,84,17,1,0,7,0,26,58,335,279697,137878,20620,52710,40589,17,17,6,6,7,50,44,18370,8250,1490,2770,1000,37270,8190,10819,9,2,0,0,0,0,4,2,2,1,12,10,0,0,0,0,2,10,1,1,18,17,0,0,0,0,1,17,1,1,1,0,0,0,0,0,0,0,0,0,90800,12,10,13760,3980,45100,241,241,241,241,205,205,205,164,164,132,132,132,129,128,123,123,1505747,136299,10099,120129,29300,76899,78590,611515,77369,46530,59349,35670,9920,72919,39470,55159,112179,0,1,2,8,17,18,18,9,1,2,2,11,17,18,12,9,7,8,12,11,RegionAwareModRef,88159,1985003,6,12,18,0
3,redist2017-525.x264+common_pixel.c,14969360,8225,1759,540,0,2,70,0,613,1146,54158,7106493,4653322,578845,658325,943972,540,540,660,0,1592,2911,3003,698764,1099791,13700,78360,1080,2121002,348997,472317,272,1610,0,0,0,0,253,1610,23,22,1722,1584,0,0,0,0,138,1584,1,1,929,749,0,0,0,0,180,749,1,1,178,0,0,0,0,0,153,0,1,0,6113470,1722,1534,2713510,1518820,10513095,10490,10490,10490,10490,8353,8225,8225,8148,8148,5130,5130,5130,4793,4320,3539,3539,126106837,4174956,611635,13890848,2969597,5912322,2307841,34649711,4768992,10671444,3698981,17137502,3348773,9344675,7203543,2041444,4625213,4,198,188,282,540,929,1722,272,296,671,188,1865,540,929,1722,272,538,927,1722,1865,RegionAwareModRef,4834011,145701410,1863,1722,929,153
4,redist2017-502.gcc+expr.c,164674859,50967,6903,1159,46,302,131,0,1639,5264,1660439,157734145,94655069,13962096,8319212,31635903,1150,1147,6469,455341,58135,11178,10962,27140619,9963668,71960,818473,7860,43040490,79746720,38255408,5613,32415,0,617,27138,0,4483,30413,127,109,9441,7442,0,49,11877,0,2257,6433,18,4,2353,2312,0,23,439,0,114,2242,18,4,1871,1423,0,126,11213,0,1848,585,30,12,136783256,9434,6142,41938483,37531618,146860893,57591,57591,57591,57591,51332,50967,50967,53706,53706,42410,42410,42410,41802,39695,36855,36855,2860294505,94577330,11692455,163579058,37658893,168425039,105072845,833976296,115865796,152671396,109276840,353569599,42120696,196951855,254601714,96873890,247430233,60,255,3281,38039,1159,2353,9444,5164,1030,2092,3292,64419,1159,2353,9441,5164,1140,2337,9434,64419,RegionAwareModRef,199045198,3272399597,64653,21625,2888,14610
5,redist2017-526.blender+blender_source_blender_editors_armature_armature_add.c,11546013,4443,889,143,30,46,27,0,247,642,53199,6262598,4187615,473366,562706,816924,131,131,553,7776,1679,898,917,994231,196559,5980,52659,2140,2032913,694514,749934,286,1057,0,0,101,0,241,863,16,13,738,647,0,0,80,0,184,543,8,1,281,207,0,0,40,0,104,175,3,1,122,218,0,0,62,0,121,25,8,3,4419714,738,538,2385915,1277911,7171011,5495,5495,5495,5495,4468,4443,4443,4604,4604,3580,3580,3580,3529,3417,3233,3233,94412906,3788149,354007,7987254,1887385,4385433,2393800,26556870,4305364,7316229,3970647,9944368,1759715,7503097,6864923,2763117,6208128,17,109,200,537,143,281,738,278,84,222,200,1380,143,281,738,278,141,279,738,1380,RegionAwareModRef,4728930,112167047,1399,911,351,401
6,redist2017-526.blender+blender_source_blender_modifiers_intern_MOD_shrinkwrap.c,1106211,608,198,42,2,5,9,0,59,139,1886,520245,297517,33540,77459,78149,42,42,53,53,76,171,171,32550,15760,1500,6760,630,100859,25170,28579,33,52,0,0,0,0,27,52,6,5,92,79,0,0,0,0,13,79,1,1,52,47,0,0,0,0,5,47,1,1,17,0,0,0,0,0,17,0,1,0,274208,92,79,63920,24189,227288,702,702,702,702,608,608,608,606,606,420,420,420,419,398,360,360,4030637,324618,30029,456927,62270,206498,159329,1385078,181759,230018,138528,207949,28959,224898,155599,128879,312527,0,5,13,27,42,52,92,33,16,26,13,79,42,52,92,33,38,48,92,79,RegionAwareModRef,211808,5449375,79,92,52,17
7,ghostscript-10.04.0+devices_gdevclj.c,5814951,2677,483,99,18,32,15,0,165,318,9053,3204313,2123712,195988,276848,488676,91,91,193,1818,593,646,686,267858,31300,4150,24410,1580,702614,258067,232158,158,696,0,0,0,0,97,588,18,17,385,360,0,0,0,0,45,315,5,1,211,188,0,0,0,0,37,164,4,3,54,61,0,0,0,0,53,8,5,2,2011164,385,293,1214385,469508,3433631,3237,3237,3237,3237,2689,2677,2677,2724,2724,2225,2225,2225,2180,2054,1865,1865,41268872,2081402,194408,3990946,660134,1820404,1199660,11063897,1810265,3474291,1664776,4170535,517265,3135493,3404431,1211680,2330091,16,71,92,296,99,211,385,150,84,191,92,778,99,211,385,150,99,211,385,778,RegionAwareModRef,1522137,49413914,793,405,225,114
8,redist2017-502.gcc+varasm.c,66591152,33106,5681,889,227,197,220,0,1534,4147,1638370,62356618,40199940,6404257,4300745,9270504,854,853,4065,402810,17332,6746,6825,13932936,9773250,92399,732964,13330,25846807,33877242,26163715,3290,8284,0,1340,4641,0,2591,7496,49,45,5349,3704,0,541,2406,0,1412,3324,13,1,1715,1571,0,130,326,0,169,1452,11,3,1109,345,0,892,2219,0,1090,29,15,2,49384554,5342,3187,12171684,7161754,53879067,37787,37787,37787,37787,33392,33106,33106,34762,34762,28744,28744,28744,28485,27349,25573,25573,1142891051,58202762,6991342,81332102,19077363,62544847,49995949,362161765,60883509,54788030,49187746,90756934,16156667,52373480,72192876,41584788,70671059,48,325,2152,9396,889,1715,5383,3090,656,1402,2155,16527,889,1715,5349,3090,858,1684,5342,16527,RegionAwareModRef,110432643,1280153262,16856,8063,2196,4546
9,redist2017-507.cactuBSSN+MoL_Operators.c,5377046,1705,358,103,7,15,10,0,136,222,3541,1950223,1222649,154089,154009,320998,100,100,163,60,798,543,548,120119,66749,3430,23750,850,444436,161749,130589,98,896,0,3,0,0,95,758,47,43,345,343,0,2,0,0,49,287,4,1,156,147,0,1,0,0,14,140,2,1,41,101,0,0,0,0,41,0,4,0,1592447,345,267,716722,410549,2025793,2128,2128,2128,2128,1743,1705,1705,1695,1695,1245,1245,1245,1216,1105,823,823,24149341,1286610,158198,2836897,398107,1160390,704804,6983752,795613,2102813,979052,2731198,300247,1680786,1090761,410737,983982,5,19,76,279,103,156,345,98,96,146,78,976,103,156,345,98,99,152,345,976,RegionAwareModRef,951672,30510369,994,394,162,142
