Configuration,TotalTime[ns]
Solver=Worklist_Policy=FirstInFirstOut_PIP,1062854.4490205927
Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_PIP,1075624.5218483175
Solver=Worklist_Policy=FirstInFirstOut_LazyCD_PIP,1082394.1747865395
Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_LazyCD_PIP,1099068.5424409844
Solver=Worklist_Policy=LastInFirstOut_DP_PIP,1151878.6670015068
Solver=Worklist_Policy=FirstInFirstOut_DP_PIP,1164420.1079859368
Solver=Worklist_Policy=LastInFirstOut_LazyCD_DP_PIP,1174503.8749372174
Solver=Worklist_Policy=FirstInFirstOut_LazyCD_DP_PIP,1178680.6740331491
Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_DP_PIP,1183640.2044198895
Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_LazyCD_DP_PIP,1204846.2566549473
Solver=Worklist_Policy=LeastRecentlyFired_PIP,1221885.1863385234
Solver=Worklist_Policy=LeastRecentlyFired_LazyCD_PIP,1225673.979407333
Solver=Worklist_Policy=LastInFirstOut_PIP,1226074.7051732799
Solver=Worklist_Policy=LastInFirstOut_LazyCD_PIP,1245462.3390256152
Solver=Worklist_Policy=LeastRecentlyFired_DP_PIP,1313057.302862883
Solver=Worklist_Policy=FirstInFirstOut_LazyCD_DP,1318235.0939226518
Solver=Worklist_Policy=LeastRecentlyFired_LazyCD_DP_PIP,1329066.8563535912
Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_LazyCD_DP,1345157.4836765444
OVS_Solver=Worklist_Policy=FirstInFirstOut_PIP,1347634.5334003014
OVS_Solver=Worklist_Policy=FirstInFirstOut_LazyCD_PIP,1352206.8322451029
OVS_Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_PIP,1357678.7965846309
OVS_Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_LazyCD_PIP,1365744.6047212456
OVS_Solver=Worklist_Policy=FirstInFirstOut_HybridCD_PIP,1385650.6012054244
Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_DP,1388027.6579608237
OVS_Solver=Worklist_Policy=FirstInFirstOut_HybridCD_LazyCD_PIP,1389107.9839276746
Solver=Worklist_Policy=FirstInFirstOut_DP,1402462.0020090407
OVS_Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_HybridCD_PIP,1403345.0718232044
OVS_Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_HybridCD_LazyCD_PIP,1405598.9311903566
