cfile,program,#RvsdgNodes,#PointerObjects,#MemoryPointerObjects,#MemoryPointerObjectsCanPoint,#RegisterPointerObjects,#RegistersMappedToPointerObject,#AllocaPointerObjects,#MallocPointerObjects,#GlobalPointerObjects,#FunctionPointerObjects,#ImportPointerObjects,#BaseConstraints,#SupersetConstraints,#StoreConstraints,#LoadConstraints,#FunctionCallConstraints,#ScalarFlagConstraints,#OtherFlagConstraints,best_config,best_config_with_ovs,best_config_sans_pip,best_config_just_without_pip,ip_naive,best_config_with_ep,oracle,oracle_sans_pip,oracle_sans_naive,oracle_sans_pip_or_naive,oracle_with_ep,oracle_only_naive
526.blender+blender_bin_source_blender_makesrna_intern_rna_particle_gen.c,526.blender,61821,19599,4554,2207,15045,27186,2172,0,1489,803,90,4554,9829,1905,3226,475,1751,6906,15554982.34,25053854.04,23138501.62,62560237.58,241363408.06,1870250452.6,14970714.8,20114972.42,14970714.8,20114972.42,1474123444.8,241363408.06
502.gcc+dwarf2out.c,502.gcc,84848,25478,3976,1728,21502,132293,2408,0,727,607,234,3976,6648,3017,10319,3506,3472,5569,15345687.96,21656096.14,23286989.02,16062275.78,28929602.56,1011395662.0,15345687.96,16062275.78,15345687.96,16062275.78,1011395662.0,28929602.56
526.blender+blender_bin_source_blender_makesrna_intern_rna_space_gen.c,526.blender,67764,20240,4796,2229,15444,26779,2092,0,1796,796,112,4796,10401,1878,3149,447,1769,7664,11473532.98,20230532.06,24278678.8,62131247.72,144920379.36,1413277866.4,11473532.98,21935346.24,11473532.98,21935346.24,1232434479.4,143914790.44000003
526.blender+blender_bin_source_blender_makesrna_intern_rna_mesh_gen.c,526.blender,55269,21262,4596,2582,16666,32241,2560,0,966,962,108,4596,9117,2447,4358,1477,1643,5817,20481600.62,29665103.12,24389303.68,19856357.16,14383439.6,1245087870.6,14383439.6,14383439.6,18653634.98,18970994.92,1245087870.6,14383439.6
emacs-29.4+src_xterm.c,emacs-29.4,107592,28497,4659,1556,23838,118718,2948,0,663,478,570,4659,6252,2445,13041,3993,6963,7833,18341807.6,30287701.0,25509938.0,18650123.2,22534026.6,1755588947.0,18288439.8,18311850.6,18288439.8,18311850.6,1755588947.0,22534026.6
526.blender+blender_bin_source_blender_makesrna_intern_rna_sequencer_gen.c,526.blender,49031,19143,3994,2182,15149,27772,2085,0,1069,732,108,3994,10401,1950,3391,648,1397,5419,10358082.38,18321014.3,29255157.1,53096976.92,119582403.52,1039861050.8,10358082.38,27136188.36,10358082.38,27136188.36,1039861050.8,119582403.52
502.gcc+i386.c,502.gcc,134705,27432,5058,1495,22374,102210,2536,0,1487,401,634,5058,7460,2792,9593,4529,4927,9572,26898219.64,36208712.44,31790965.12,27457064.48,46085250.98,2144325865.0,25804220.76,27083731.42,25804220.76,27083731.42,2144325865.0,46085250.98
526.blender+blender_bin_source_blender_makesrna_intern_rna_userdef_gen.c,526.blender,127638,40179,8791,4398,31388,62803,4467,0,2774,1483,67,8791,23338,3740,6185,1010,5021,12681,31519698.44,50856570.34,55680729.64,118695521.24,278063775.8,5982137038.0,31184320.18,52284714.86,31184320.18,52284714.86,5710847063.0,278063775.8
502.gcc+insn-emit.c,502.gcc,121407,57639,10514,8290,47125,82049,8470,0,6,1859,179,10514,1124,12209,16295,14757,800,9140,61990052.34,69411465.08,67426763.08,60609705.76,46948609.98,7881462265.2,46948609.98,46948609.98,55259873.62,55259873.62,7493344441.0,46948609.98
526.blender+blender_bin_source_blender_makesrna_intern_rna_scene_gen.c,526.blender,112535,32095,7670,3442,24425,42598,3277,0,2992,1245,156,7670,16815,2911,4874,743,2818,12630,25621629.98,43801478.66,70443748.5,359450598.52,790469682.54,4778998148.0,25407673.34,67916187.06,25407673.34,67916187.06,4292109049.0,790469682.54
526.blender+blender_bin_source_blender_makesrna_intern_rna_nodetree_gen.c,526.blender,219230,99558,19836,12467,79722,133975,11467,0,5488,2730,151,19836,66905,10912,14114,2689,5676,22818,112305346.56,187798236.58,232494337.64,1757193362.34,5471426189.5,38949177248.0,108582433.26,212710081.74,108582433.26,212710081.74,38949177248.0,5241673021.54
emacs-29.4+src_xdisp.c,emacs-29.4,210227,48105,5438,2144,42667,199596,4139,0,350,578,371,5438,12299,3565,25702,6977,14693,8859,51480359.4,67581033.19999999,930774976.6,8446745521.6,9351338607.2,3026808521.0,51366064.8,399192712.4,51366064.8,399192712.4,2928317235.0,8026395266.4
