cfile,BestSansPip,OracleEP,Diff,EPConfiguration,Index
502.gcc+cc1-checksum.c,1424.52,426.46,998.06,EP_Solver=Naive,0.0
gdb-15.2+gnulib_import_exitfail.c,1461.66,400.0,1061.66,EP_Solver=Naive,1.0
ghostscript-10.04.0+obj_jaricom.c,1481.04,403.58,1077.46,EP_Solver=Naive,2.0
sendmail-8.18.1+sendmail_version.c,1498.22,388.6,1109.62,EP_Solver=Naive,3.0
gdb-15.2+sim_common_version.c,1506.58,421.62,1084.96,EP_Solver=Naive,4.0
557.xz+liblzma_lzma_fastpos_table.c,1550.4,457.9,1092.5,EP_Solver=Naive,5.0
557.xz+liblzma_check_crc64_table.c,1564.92,452.46,1112.46,EP_Solver=Naive,6.0
557.xz+liblzma_check_crc32_table.c,1568.66,395.96,1172.7,EP_Solver=Naive,7.0
sendmail-8.18.1+libsmutil_debug.c,1627.2,442.86,1184.3400000000001,EP_Solver=Naive,8.0
557.xz+liblzma_rangecoder_price_table.c,1634.64,451.92,1182.72,EP_Solver=Naive,9.0
ghostscript-10.04.0+base_scantab.c,1663.68,405.0,1258.68,EP_Solver=Naive,10.0
526.blender+spec_backtrace.c,1722.64,712.48,1010.1600000000001,EP_Solver=Naive,11.0
emacs-29.4+lib_fingerprint.c,1727.56,407.94,1319.62,EP_Solver=Naive,12.0
526.blender+blender_source_blender_editors_curve_lorem.c,1733.08,407.4,1325.6799999999998,EP_Solver=Naive,13.0
507.cactuBSSN+CactusBindings_Parameters_Global.c,1739.12,479.7,1259.4199999999998,EP_Solver=Naive,14.0
ghostscript-10.04.0+devices_vector_gdevpdtv.c,1762.98,471.58,1291.4,EP_Solver=Naive,15.0
526.blender+blender_bin_source_blender_makesdna_intern_dna.c,1776.58,472.74,1303.84,EP_Solver=Naive,16.0
526.blender+blender_source_blender_blenlib_intern_system.c,1783.42,722.86,1060.56,EP_Solver=Naive,17.0
ghostscript-10.04.0+freetype_src_autofit_afblue.c,1790.78,495.64,1295.1399999999999,EP_Solver=Naive,18.0
526.blender+blender_source_blender_editors_io_io_ops.c,1799.18,658.66,1140.52,EP_Solver=Naive,19.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_simple_frag.glsl.c,1802.4,545.78,1256.6200000000001,EP_Solver=Naive,20.0
525.x264+common_mdate.c,1849.94,767.76,1082.18,EP_Solver=Naive,21.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_simple_vert.glsl.c,1878.16,545.28,1332.88,EP_Solver=Naive,22.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_sep_gaussian_blur_frag.glsl.c,1888.96,520.8,1368.16,EP_Solver=Naive,23.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_vsm_store_vert.glsl.c,1904.26,537.96,1366.3,EP_Solver=Naive,24.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_sep_gaussian_blur_vert.glsl.c,1916.38,526.22,1390.16,EP_Solver=Naive,25.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_vsm_store_frag.glsl.c,1931.92,542.7,1389.22,EP_Solver=Naive,26.0
526.blender+blender_bin_release_datafiles_bfont.pfb.c,1980.08,501.68,1478.3999999999999,EP_Solver=Naive,27.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_vertex.glsl.c,1987.82,554.12,1433.6999999999998,EP_Solver=Naive,28.0
507.cactuBSSN+CactusBindings_Functions_ADMBase_Functions.c,1991.92,828.74,1163.18,EP_Solver=Naive,29.0
gdb-15.2+libiberty_safe-ctype.c,2003.3,641.9,1361.4,EP_Solver=Naive,30.0
507.cactuBSSN+CactusBindings_Functions_GenericFD_Functions.c,2031.78,788.68,1243.1,EP_Solver=Naive,31.0
502.gcc+hex.c,2039.54,991.04,1048.5,EP_Solver=Naive,32.0
507.cactuBSSN+CactusBindings_Functions_CartGrid3D_Functions.c,2040.84,810.26,1230.58,EP_Solver=Naive,33.0
gdb-15.2+libiberty_hex.c,2069.5,901.52,1167.98,EP_Solver=Naive,34.0
507.cactuBSSN+CactusBindings_Functions_IOASCII_Functions.c,2075.04,774.28,1300.76,EP_Solver=Naive,35.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_material.glsl.c,2084.32,477.44,1606.88,EP_Solver=Naive,36.0
502.gcc+safe-ctype.c,2104.28,591.4,1512.88,EP_Solver=Naive,37.0
526.blender+blender_extern_colamd_Source_colamd_global.c,2170.42,1295.42,875.0,EP_Solver=Naive,38.0
507.cactuBSSN+CactusBindings_Functions_GaugeWave_Functions.c,2173.8,758.12,1415.6800000000003,EP_Solver=Naive,39.0
507.cactuBSSN+CactusBindings_Functions_IOBasic_Functions.c,2185.9,969.42,1216.48,EP_Solver=Naive,40.0
507.cactuBSSN+CactusBindings_Functions_ML_BSSN_Functions.c,2187.28,825.4,1361.88,EP_Solver=Naive,41.0
557.xz+common_tuklib_cpucores.c,2206.78,808.04,1398.7400000000002,EP_Solver=Naive,42.0
526.blender+blender_bin_release_datafiles_bmonofont.ttf.c,2244.76,492.6,1752.1600000000003,EP_Solver=Naive,43.0
526.blender+blender_bin_release_datafiles_bfont.ttf.c,2250.94,472.28,1778.66,EP_Solver=Naive,44.0
526.blender+blender_bin_release_datafiles_startup.blend.c,2279.04,490.4,1788.6399999999999,EP_Solver=Naive,45.0
557.xz+liblzma_common_hardware_physmem.c,2286.32,890.42,1395.9,EP_Solver=Naive,46.0
ghostscript-10.04.0+tiff_libtiff_tif_version.c,2291.06,902.22,1388.84,EP_Solver=Naive,47.0
502.gcc+version.c,2306.92,691.84,1615.08,EP_Solver=Naive,48.0
507.cactuBSSN+CactusBindings_Schedule_SchedulePUGHSlab.c,2356.1,1261.58,1094.52,EP_Solver=Naive,49.0
557.xz+common_tuklib_open_stdxxx.c,2372.88,820.28,1552.6000000000001,EP_Solver=Naive,50.0
sendmail-8.18.1+libsm_flags.c,2373.42,1041.62,1331.8000000000002,EP_Solver=Naive,51.0
ghostscript-10.04.0+tiff_libtiff_tif_fax3sm.c,2388.3,671.28,1717.0200000000002,EP_Solver=Naive,52.0
507.cactuBSSN+CactusBindings_Functions_ML_BSSN_Helper_Functions.c,2388.48,951.32,1437.1599999999999,EP_Solver=Naive,53.0
525.x264+common_cpu.c,2423.7,1417.82,1005.8799999999999,EP_Solver=Naive,54.0
507.cactuBSSN+CactusBindings_Schedule_ScheduleADMCoupling.c,2452.0,1285.66,1166.34,EP_Solver=Naive,55.0
502.gcc+vasprintf.c,2454.4,417.36,2037.04,EP_Solver=Naive,56.0
526.blender+blender_source_blender_blenlib_intern_time.c,2457.98,1177.48,1280.5,EP_Solver=Naive,57.0
gdb-15.2+gnulib_import_sockets.c,2543.88,1182.38,1361.5,EP_Solver=Naive,58.0
emacs-29.4+lib_acl-errno-valid.c,2550.94,976.38,1574.56,EP_Solver=Naive,59.0
557.xz+common_tuklib_physmem.c,2560.06,957.72,1602.34,EP_Solver=Naive,60.0
502.gcc+getruntime.c,2577.24,1157.76,1419.4799999999998,EP_Solver=Naive,61.0
gdb-15.2+libiberty_filedescriptor.c,2615.34,1100.46,1514.88,EP_Solver=Naive,62.0
emacs-29.4+lib_acl-internal.c,2635.36,1304.62,1330.7400000000002,EP_Solver=Naive,63.0
502.gcc+graphite.c,2664.84,1000.22,1664.6200000000001,EP_Solver=Naive,64.0
gdb-15.2+libiberty_getruntime.c,2688.7,1079.34,1609.36,EP_Solver=Naive,65.0
ghostscript-10.04.0+base_scfdtab.c,2695.24,1041.94,1653.2999999999997,EP_Solver=Naive,66.0
gdb-15.2+gnulib_import_dup-safer.c,2718.84,1038.34,1680.5000000000002,EP_Solver=Naive,67.0
507.cactuBSSN+CactusBindings_Parameters_PUGHSlab_Parameters.c,2754.44,1328.18,1426.26,EP_Solver=Naive,68.0
507.cactuBSSN+ML_BSSN_Helper_RegisterSlicing.c,2768.06,1213.64,1554.4199999999998,EP_Solver=Naive,69.0
gdb-15.2+gnulib_import_dup-safer-flag.c,2868.64,1119.32,1749.32,EP_Solver=Naive,70.0
gdb-15.2+gnulib_import_getprogname.c,2896.16,1456.96,1439.1999999999998,EP_Solver=Naive,71.0
507.cactuBSSN+CactusBindings_Parameters_LocalReduce_Parameters.c,2901.0,1482.5,1418.5,EP_Solver=Naive,72.0
507.cactuBSSN+CactusBindings_Parameters_PUGHReduce_Parameters.c,2927.78,1342.88,1584.9,EP_Solver=Naive,73.0
