cfile,program,#RvsdgNodes,#PointerObjects,#MemoryPointerObjects,#MemoryPointerObjectsCanPoint,#RegisterPointerObjects,#RegistersMappedToPointerObject,#AllocaPointerObjects,#MallocPointerObjects,#GlobalPointerObjects,#FunctionPointerObjects,#ImportPointerObjects,#BaseConstraints,#SupersetConstraints,#StoreConstraints,#LoadConstraints,#FunctionCallConstraints,#ScalarFlagConstraints,#OtherFlagConstraints,#PointsToGraphNodes,#PointsToGraphAllocaNodes,#PointsToGraphDeltaNodes,#PointsToGraphImportNodes,#PointsToGraphLambdaNodes,#PointsToGraphMallocNodes,#PointsToGraphEscapedNodes,#PointsToGraphExternalMemorySources,#PointsToGraphEdges,#PointsToGraphPointsToRelations,SetAndConstraintBuildingTimer[ns],PointsToGraphConstructionTimer[ns],PointsToGraphConstructionExternalToEscapedTimer[ns],#PointsToExternalRelations,PairwiseAliasAnalysisType,DumpFile,BasicAA-IsRemovingDuplicatePointers,BasicAA-PrecisionEvaluationMode,BasicAA-#TotalNoAlias,BasicAA-#TotalMayAlias,BasicAA-#TotalMustAlias,BasicAA-ModuleNumClobbers,BasicAA-ClobberAverageNoAlias,BasicAA-ClobberAverageMayAlias,BasicAA-ClobberAverageMustAlias,BasicAA-PrecisionEvaluationTimer[ns],PointsToGraphAA-IsRemovingDuplicatePointers,PointsToGraphAA-PrecisionEvaluationMode,PointsToGraphAA-#TotalNoAlias,PointsToGraphAA-#TotalMayAlias,PointsToGraphAA-#TotalMustAlias,PointsToGraphAA-ModuleNumClobbers,PointsToGraphAA-ClobberAverageNoAlias,PointsToGraphAA-ClobberAverageMayAlias,PointsToGraphAA-ClobberAverageMustAlias,PointsToGraphAA-PrecisionEvaluationTimer[ns],"ChainedAA(PointsToGraphAA,BasicAA)-IsRemovingDuplicatePointers","ChainedAA(PointsToGraphAA,BasicAA)-PrecisionEvaluationMode","ChainedAA(PointsToGraphAA,BasicAA)-#TotalNoAlias","ChainedAA(PointsToGraphAA,BasicAA)-#TotalMayAlias","ChainedAA(PointsToGraphAA,BasicAA)-#TotalMustAlias","ChainedAA(PointsToGraphAA,BasicAA)-ModuleNumClobbers","ChainedAA(PointsToGraphAA,BasicAA)-ClobberAverageNoAlias","ChainedAA(PointsToGraphAA,BasicAA)-ClobberAverageMayAlias","ChainedAA(PointsToGraphAA,BasicAA)-ClobberAverageMustAlias","ChainedAA(PointsToGraphAA,BasicAA)-PrecisionEvaluationTimer[ns]",best_config,best_config_sans_pip,best_config_just_without_pip,best_config_with_ep,oracle,oracle_sans_pip,oracle_sans_naive,oracle_sans_pip_or_naive,oracle_only_naive,oracle_with_ep
526.blender+blender_bin_source_blender_makesrna_intern_rna_particle_gen.c,526.blender,69973,19599,4554,2207,15045,35335,2172,0,1489,803,90,4554,9829,1905,3226,475,1751,6906,18279,2172,1489,90,803,0,2356,5903,13918369,24186606,122641701,4811108113,4794125171.0,6576,"ChainedAA(PointsToGraphAA,BasicAA)",/tmp/tmpf47upkw1jlm-bench/526-Wga8zu-AAPrecisionEvaluation-2.log,False,ClobberingStores,31297.0,1447.0,4211.0,2673.0,0.786971,0.0341059,0.178923,213391622.0,False,ClobberingStores,31365.0,1404.0,4186.0,2673.0,0.787126,0.0341914,0.178683,6605976941.0,False,ClobberingStores,31460.0,1284.0,4211.0,2673.0,0.788037,0.0330403,0.178923,6644640832.0,13429871.96,18452531.82,56754384.44,1562535181.46,13429871.96,18452531.82,13429871.96,18452531.82,214414571.96,1271584876.86
526.blender+blender_bin_source_blender_makesrna_intern_rna_space_gen.c,526.blender,75327,20240,4796,2229,15444,34342,2092,0,1796,796,112,4796,10401,1878,3149,447,1769,7664,19089,2092,1796,112,796,0,2697,5878,15864867,27984571,117453681,5388590846,5376553421.0,6504,"ChainedAA(PointsToGraphAA,BasicAA)",/tmp/tmpw0vujf8njlm-bench/526-M7WMpm-AAPrecisionEvaluation-2.log,False,ClobberingStores,21994.0,1741.0,3597.0,2614.0,0.781572,0.0491618,0.169266,234947127.0,False,ClobberingStores,22024.0,1711.0,3597.0,2614.0,0.782058,0.0486755,0.169266,7251697411.0,False,ClobberingStores,22030.0,1705.0,3597.0,2614.0,0.78212,0.0486135,0.169266,7258848242.0,10582040.12,20364399.38,61575075.24,1495289057.88,10483882.86,20243967.86,10483882.86,20243967.86,136747717.24,1279519945.9199998
526.blender+blender_bin_source_blender_makesrna_intern_rna_mesh_gen.c,526.blender,64468,21262,4596,2582,16666,41403,2560,0,966,962,108,4596,9117,2447,4358,1477,1643,5817,18544,2560,966,108,962,0,2058,7019,14454861,24296288,117873669,4633383593,4618609957.0,8682,"ChainedAA(PointsToGraphAA,BasicAA)",/tmp/tmp4cwu4ijnjlm-bench/526-nfw293-AAPrecisionEvaluation-2.log,False,ClobberingStores,31155.0,1172.0,5312.0,2851.0,0.725699,0.0260715,0.248229,129357738.0,False,ClobberingStores,31164.0,1163.0,5312.0,2851.0,0.725942,0.0258287,0.248229,4807390345.0,False,ClobberingStores,31164.0,1163.0,5312.0,2851.0,0.725942,0.0258287,0.248229,4810163761.0,21535549.0,23268070.84,21336239.78,1065558377.22,17762495.78,17762495.78,20818117.0,21248628.84,17762495.78,1065558377.22
502.gcc+dwarf2out.c,502.gcc,104042,25478,3976,1728,21502,151468,2408,0,727,607,234,3976,6648,3017,10319,3506,3472,5569,16298,2408,727,234,607,0,1191,7535,8981665,26135899,232989862,2533293264,2487737311.0,13280,"ChainedAA(PointsToGraphAA,BasicAA)",/tmp/tmpivf5bwnmjlm-bench/502-uT5fck-AAPrecisionEvaluation-2.log,False,ClobberingStores,343740.0,33904.0,73412.0,4662.0,0.746256,0.0473942,0.206349,1075543456.0,False,ClobberingStores,362080.0,15812.0,73164.0,4662.0,0.760494,0.0335475,0.205959,4648979304.0,False,ClobberingStores,362859.0,14768.0,73429.0,4662.0,0.765125,0.0282869,0.206588,4771713723.0,21843402.9,27291128.68,22568853.26,1079109211.96,21843402.9,22568853.26,21843402.9,22568853.26,46909120.56,1079109211.96
emacs-29.4+src_xterm.c,emacs-29.4,133820,28502,4659,1556,23843,144909,2948,0,663,478,570,4659,6252,2445,13041,3993,6963,7833,18071,2948,663,570,478,0,1694,8909,15097819,53822063,334604814,4385232724,4336255795.0,16159,"ChainedAA(PointsToGraphAA,BasicAA)",/tmp/tmpru50asegjlm-bench/emacs-29-SQavL8-AAPrecisionEvaluation-2.log,False,ClobberingStores,4530208.0,1063952.0,50883.0,5823.0,0.811309,0.127959,0.0598733,48368519391.0,False,ClobberingStores,4867650.0,728627.0,48766.0,5823.0,0.832958,0.107259,0.0589242,220661257793.0,False,ClobberingStores,4895767.0,698393.0,50883.0,5823.0,0.848753,0.0905146,0.0598733,235580709876.0,28397666.72,30831615.1,28376613.74,1700464437.7800002,28329966.36,28329966.36,28329966.36,28329966.36,41702046.58,1700464437.7800002
526.blender+blender_bin_source_blender_makesrna_intern_rna_sequencer_gen.c,526.blender,56751,19143,3994,2182,15149,35491,2085,0,1069,732,108,3994,10401,1950,3391,648,1397,5419,17622,2085,1069,108,732,0,1932,5909,11426792,19589757,100608357,3975040223,3960472805.0,6756,"ChainedAA(PointsToGraphAA,BasicAA)",/tmp/tmpuvsap1imjlm-bench/526-T3crAv-AAPrecisionEvaluation-2.log,False,ClobberingStores,29534.0,1254.0,4638.0,2494.0,0.786771,0.0338821,0.179347,119126714.0,False,ClobberingStores,29541.0,1253.0,4632.0,2494.0,0.786327,0.0346658,0.179007,6574076546.0,False,ClobberingStores,29563.0,1225.0,4638.0,2494.0,0.787494,0.0331592,0.179347,6550977202.0,12875895.74,31577713.38,58333157.06,1358125190.52,12875895.74,31346145.14,12875895.74,31346145.14,133006122.52,1012040664.62
502.gcc+i386.c,502.gcc,158701,27432,5058,1495,22374,126166,2536,0,1487,401,634,5058,7460,2792,9593,4529,4927,9572,17628,2536,1487,634,401,0,2345,7597,17835900,47796034,356031598,5784403654,5726368214.0,13622,"ChainedAA(PointsToGraphAA,BasicAA)",/tmp/tmp2279jtz0jlm-bench/502-D50onC-AAPrecisionEvaluation-2.log,False,ClobberingStores,723953.0,38319.0,61124.0,5833.0,0.858109,0.0308595,0.11086,1585177777.0,False,ClobberingStores,728574.0,34042.0,60780.0,5833.0,0.859815,0.0301843,0.109829,17995267862.0,False,ClobberingStores,731207.0,31065.0,61124.0,5833.0,0.864894,0.0240754,0.11086,18174821341.0,28050723.4,31774491.74,29027629.26,1497611251.56,27739352.7,28293601.12,27739352.7,28293601.12,63750922.22,1497611251.56
526.blender+blender_bin_source_blender_makesrna_intern_rna_userdef_gen.c,526.blender,146791,40179,8791,4398,31388,81956,4467,0,2774,1483,67,8791,23338,3740,6185,1010,5021,12681,35519,4467,2774,67,1483,0,4426,11635,51517706,95411408,271149585,19935528713,19895921971.0,13125,"ChainedAA(PointsToGraphAA,BasicAA)",/tmp/tmpiagy4rf_jlm-bench/526-DmAXqd-AAPrecisionEvaluation-2.log,False,ClobberingStores,67175.0,2788.0,13065.0,6001.0,0.781741,0.0308258,0.187266,302115111.0,False,ClobberingStores,67175.0,2801.0,13052.0,6001.0,0.781741,0.0310164,0.187076,44441689168.0,False,ClobberingStores,67175.0,2788.0,13065.0,6001.0,0.781741,0.0308258,0.187266,44258732743.0,25767998.3,46536137.54,118810080.86,4698326608.72,25767998.3,46091838.48,25767998.3,46091838.48,284347488.44,4698326608.72
502.gcc+insn-emit.c,502.gcc,151311,57639,10514,8290,47125,111948,8470,0,6,1859,179,10514,1124,12209,16295,14757,800,9140,49471,8470,6,179,1859,0,2395,33658,80621426,111112570,283278321,22487679755,22446438261.0,41279,"ChainedAA(PointsToGraphAA,BasicAA)",/tmp/tmpz8_3er_1jlm-bench/502-2Ryldl-AAPrecisionEvaluation-2.log,False,ClobberingStores,244304.0,6705.0,21935.0,12480.0,0.880801,0.012027,0.107172,436440649.0,False,ClobberingStores,235224.0,18048.0,19672.0,12480.0,0.84917,0.051601,0.0992292,3431144525.0,False,ClobberingStores,244304.0,6705.0,21935.0,12480.0,0.880801,0.012027,0.107172,3529634010.0,54873922.78,56465078.2,54404124.18,6966737047.54,37664730.72,37664730.72,46293024.96,46293024.96,37664730.72,6966737047.54
526.blender+blender_bin_source_blender_makesrna_intern_rna_scene_gen.c,526.blender,124606,32095,7670,3442,24425,54669,3277,0,2992,1245,156,7670,16815,2911,4874,743,2818,12630,30029,3277,2992,156,1245,0,4421,8950,39586981,69728332,215961191,12706189276,12673774828.0,10025,"ChainedAA(PointsToGraphAA,BasicAA)",/tmp/tmpqxvjddopjlm-bench/526-VuRHQm-AAPrecisionEvaluation-2.log,False,ClobberingStores,35924.0,2237.0,5689.0,4070.0,0.779618,0.0439137,0.17524,449519596.0,False,ClobberingStores,35927.0,2242.0,5681.0,4070.0,0.779596,0.0441925,0.174983,18699869229.0,False,ClobberingStores,35933.0,2228.0,5689.0,4070.0,0.77966,0.043872,0.17524,19051711828.0,21630019.76,60956818.62,316284345.12,3831449756.26,21600200.64,60770996.2,21600200.64,60770996.2,670245948.42,3831449756.26
