cfile,BestSansPip,OracleEP,TimeWithIPNaive,Diff,EPConfiguration,Index
557.xz+liblzma_rangecoder_price_table.c,1478.52,486.2,328.94,992.3199999999999,EP_Solver=Naive,0.0
526.blender+blender_source_blender_editors_io_io_ops.c,1702.82,615.0,816.58,1087.82,EP_Solver=Naive,1.0
526.blender+spec_backtrace.c,1704.38,641.8,486.42,1062.5800000000002,EP_Solver=Naive,2.0
502.gcc+vasprintf.c,1728.92,479.6,338.96,1249.3200000000002,EP_Solver=Naive,3.0
526.blender+blender_source_blender_editors_curve_lorem.c,1818.5,578.4,384.58,1240.1,EP_Solver=Naive,4.0
557.xz+liblzma_lzma_fastpos_table.c,1820.76,506.4,433.44,1314.3600000000001,EP_Solver=Naive,5.0
526.blender+blender_bin_source_blender_makesdna_intern_dna.c,1875.14,585.6,398.78,1289.54,EP_Solver=Naive,6.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_simple_frag.glsl.c,1959.4,608.2,474.84,1351.2,EP_Solver=Naive,7.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_vertex.glsl.c,1964.04,618.2,460.08,1345.84,EP_Solver=Naive,8.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_vsm_store_vert.glsl.c,2036.54,635.6,368.02,1400.94,EP_Solver=Naive,9.0
526.blender+blender_source_blender_blenlib_intern_system.c,2074.06,617.2,576.68,1456.86,EP_Solver=Naive,10.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_simple_vert.glsl.c,2122.3,565.4,437.6,1556.9,EP_Solver=Naive,11.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_material.glsl.c,2125.54,609.4,374.3,1516.1399999999999,EP_Solver=Naive,12.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_sep_gaussian_blur_vert.glsl.c,2177.98,569.4,441.32,1608.58,EP_Solver=Naive,13.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_vsm_store_frag.glsl.c,2207.36,576.4,469.46,1630.96,EP_Solver=Naive,14.0
507.cactuBSSN+CactusBindings_Functions_GenericFD_Functions.c,2251.52,664.2,662.94,1587.32,EP_Solver=Naive,15.0
502.gcc+cc1-checksum.c,2282.88,485.4,372.0,1797.48,EP_Solver=Naive,16.0
526.blender+blender_bin_release_datafiles_bmonofont.ttf.c,2294.12,595.0,404.32,1699.12,EP_Solver=Naive,17.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_sep_gaussian_blur_frag.glsl.c,2364.74,701.4,447.86,1663.3399999999997,EP_Solver=Naive,18.0
gdb-15.2+sim_common_version.c,2440.4,893.0,463.4,1547.4,EP_Solver=Naive,19.0
507.cactuBSSN+CactusBindings_Functions_IOBasic_Functions.c,2444.66,798.0,712.56,1646.6599999999999,EP_Solver=Naive,20.0
526.blender+blender_bin_release_datafiles_startup.blend.c,2508.92,625.4,381.4,1883.52,EP_Solver=Naive,21.0
526.blender+blender_bin_release_datafiles_bfont.ttf.c,2510.38,607.4,398.64,1902.98,EP_Solver=Naive,22.0
gdb-15.2+gnulib_import_exitfail.c,2525.4,863.0,482.8,1662.4,EP_Solver=Naive,23.0
507.cactuBSSN+CactusBindings_Functions_ML_BSSN_Functions.c,2526.42,729.2,641.46,1797.22,EP_Solver=Naive,24.0
502.gcc+version.c,2544.72,668.8,490.28,1875.9199999999998,EP_Solver=Naive,25.0
526.blender+blender_bin_release_datafiles_bfont.pfb.c,2548.8,683.0,554.34,1865.8000000000002,EP_Solver=Naive,26.0
557.xz+common_tuklib_cpucores.c,2584.14,698.8,639.12,1885.34,EP_Solver=Naive,27.0
507.cactuBSSN+CactusBindings_Functions_GaugeWave_Functions.c,2597.24,682.8,662.64,1914.4399999999998,EP_Solver=Naive,28.0
557.xz+common_tuklib_physmem.c,2698.66,682.4,1068.74,2016.2599999999998,EP_Solver=Naive,29.0
emacs-29.4+lib_fingerprint.c,2719.2,1024.0,441.2,1695.1999999999998,EP_Solver=Naive,30.0
502.gcc+safe-ctype.c,2737.52,775.2,586.32,1962.32,EP_Solver=Naive,31.0
ghostscript-10.04.0+obj_jaricom.c,2841.0,937.0,590.8,1904.0,EP_Solver=Naive,32.0
sendmail-8.18.1+sendmail_version.c,2847.6,918.0,557.2,1929.6,EP_Solver=Naive,33.0
525.x264+x264_src_common_mdate.c,2908.3,594.8,1134.08,2313.5,EP_Solver=Naive,34.0
507.cactuBSSN+CactusBindings_Parameters_Global.c,2931.78,493.8,990.64,2437.98,EP_Solver=Naive,35.0
502.gcc+graphite.c,2984.86,1103.2,1222.76,1881.66,EP_Solver=Naive,36.0
ghostscript-10.04.0+base_scantab.c,3023.8,1133.0,529.6,1890.8000000000002,EP_Solver=Naive,37.0
557.xz+liblzma_common_hardware_physmem.c,3032.34,1074.2,1241.72,1958.14,EP_Solver=Naive,38.0
507.cactuBSSN+CactusBindings_Functions_ML_BSSN_Helper_Functions.c,3043.52,661.6,665.2,2381.92,EP_Solver=Naive,39.0
ghostscript-10.04.0+freetype_src_autofit_afblue.c,3228.4,1124.0,587.8,2104.4,EP_Solver=Naive,40.0
526.blender+blender_extern_colamd_Source_colamd_global.c,3268.82,1719.0,776.56,1549.8200000000002,EP_Solver=Naive,41.0
526.blender+blender_source_blender_blenlib_intern_time.c,3297.42,1048.4,1242.18,2249.02,EP_Solver=Naive,42.0
525.x264+x264_src_common_cpu.c,3339.04,1131.4,1292.96,2207.64,EP_Solver=Naive,43.0
507.cactuBSSN+CactusBindings_Parameters_LocalReduce_Parameters.c,3350.52,1081.4,934.82,2269.12,EP_Solver=Naive,44.0
502.gcc+hex.c,3396.04,703.6,1650.06,2692.44,EP_Solver=Naive,45.0
538.imagick+magick_static.c,3549.28,1479.8,1037.54,2069.4800000000005,EP_Solver=Naive,46.0
gdb-15.2+libiberty_safe-ctype.c,3644.2,1265.0,754.6,2379.2,EP_Solver=Naive,47.0
ghostscript-10.04.0+devices_vector_gdevpdtv.c,3730.6,1307.0,576.6,2423.6,EP_Solver=Naive,48.0
502.gcc+getruntime.c,3761.98,1461.8,1497.86,2300.1800000000003,EP_Solver=Naive,49.0
