cfile,BestSansPip,OracleEP,Diff,EPConfiguration,Index
507.cactuBSSN+CactusBindings_Parameters_Global.c,1463.74,1012.0,451.74,EP_Solver=Naive,0.0
502.gcc+vasprintf.c,1476.42,953.0,523.4200000000001,EP_Solver=Naive,1.0
557.xz+liblzma_lzma_fastpos_table.c,1658.82,990.6,668.2199999999999,EP_Solver=Naive,2.0
526.blender+blender_source_blender_editors_io_io_ops.c,1681.28,1223.6,457.68000000000006,EP_Solver=Naive,3.0
525.x264+x264_src_common_mdate.c,1819.8,1230.2,589.5999999999999,EP_Solver=Naive,4.0
526.blender+blender_source_blender_editors_curve_lorem.c,1832.94,947.8,885.1400000000001,EP_Solver=Naive,5.0
526.blender+blender_source_blender_blenlib_intern_system.c,1980.5,1618.6,361.9000000000001,EP_Solver=Naive,8.0
526.blender+blender_bin_release_datafiles_bfont.pfb.c,2013.72,1982.2,31.519999999999982,EP_Solver=Naive,9.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_material.glsl.c,2018.44,1871.6,146.84000000000015,EP_Solver=Naive,10.0
507.cactuBSSN+CactusBindings_Functions_ADMBase_Functions.c,2019.96,1248.6,771.3600000000001,EP_Solver=Naive,11.0
526.blender+blender_bin_release_datafiles_bfont.ttf.c,2067.18,1910.0,157.17999999999984,EP_Solver=Naive,12.0
526.blender+blender_bin_source_blender_gpu_shaders_gpu_shader_simple_vert.glsl.c,2188.02,2000.8,187.22000000000003,EP_Solver=Naive,13.0
502.gcc+hex.c,2204.32,2179.8,24.519999999999982,EP_Solver=Naive,15.0
557.xz+liblzma_rangecoder_price_table.c,2286.96,1021.8,1265.16,EP_Solver=Naive,16.0
526.blender+blender_extern_colamd_Source_colamd_global.c,2294.8,2114.2,180.60000000000036,EP_Solver=Naive,17.0
507.cactuBSSN+CactusBindings_Functions_GaugeWave_Functions.c,2351.22,1284.8,1066.4199999999998,EP_Solver=Naive,18.0
507.cactuBSSN+CactusBindings_Functions_ML_BSSN_Functions.c,2352.32,1271.2,1081.1200000000001,EP_Solver=Naive,19.0
526.blender+blender_bin_source_blender_makesdna_intern_dna.c,2402.76,1950.6,452.1600000000003,EP_Solver=Naive,20.0
526.blender+blender_bin_release_datafiles_bmonofont.ttf.c,2444.42,2023.4,421.02,EP_Solver=Naive,21.0
